Community,Traditions,,,
1,"105, 111",,,
2,114,,,
3,118,,,
4,112,,,
6,114,,,
7,103,,,
8,102,,,
9,"117, 122",,,
10,"113, 118",,,
11,"103, 111, 125",,,
12,103,,,
14,"111, 117",,,
15,"105, 114, 116",,,
16,126,,,
17,103,,,
18,105,,,
19,120,,,
20,103,,,
21,108,,,
22,107,,,
23,115,,,
24,103,,,
25,103,,,
26,"103, 125",,,
27,114,,,
28,"103, 125",,,
29,103,,,
30,114,,,
31,103,,,
32,110,,,
33,"103, 125",,,
34,119,,,
35,"108, 115",,,
36,"110, 126",,,
37,114,,,
38,"101, 116, 123, 125",,,
39,"106, 116, 125",,,
40,116,,,
41,100,,,
42,"114, 120",,,
43,103,,,
44,125,,,
45,103,,,
46,"110, 118",,,
47,103,,,
48,121,,,
49,116,,,
50,115,,,
51,110,,,
52,103,,,
53,103,,,
54,103,,,
55,114,,,
56,114,,,
57,125,,,
58,111,,,
59,"111, 114, 115, 116",,,
60,105,,,
61,126,,,
62,"110, 118",,,
63,103,,,
64,114,,,
65,104,,,
66,114,,,
67,103,,,
68,126,,,
69,118,,,
70,"102, 109, 111",,,
71,111,,,
72,115,,,
74,100,,,
75,126,,,
76,125,,,
77,126,,,
78,125,,,
79,104,,,
80,111,,,
81,111,,,
82,108,,,
83,112,,,
84,"103, 114, 125",,,
85,103,,,
86,103,,,
87,103,,,
88,111,,,
89,100,,,
90,103,,,
91,118,,,
92,"108, 125",,,
93,"108, 116",,,
94,100,,,
95,103,,,
96,114,,,
97,110,,,
98,101,,,
99,100,,,
