Place Number,Community of Origin (Canada),Latitiude,Longitude
1,A' Chreag Dhubh | Blackstone,46.132087,-61.301567
2,A’ Mhira Mhór a Deas | Grand Mira South,45.879558,-60.290922
3,Abhainn a’ Chùbair | Indian Brook,46.383158,-60.534934
4,Abhainn Denys | River Denys,45.845565,-61.137164
5,Acarsaid Nìll | Neils Harbour,46.811400,-60.323200
6,Am Bràighe | Upper Margaree,46.212012,-61.142226
7,Am Pòn Mór | Big Pond,45.907437,-60.540004
8,An Abhainn Dubh | Black River,46.127320,-61.337977
9,An Abhainn Mheadhanach | Middle River,46.153200,-60.921400
10,An Abhainn Mhór | Grand River,45.648360,-60.662471
11,An Acarsaid | Ottawa Brook,45.933133,-60.933327
12,An Acarsaid | Shenacadie,46.018922,-60.653672
13,An Acarsaid a Deas | South Haven,46.199242,-60.585344
14,An Acarsaid Mhàbu | Mabou Harbour,46.081771,-61.420201
15,An Camus Leathann | Broad Cove,46.261746,-61.271854
16,An Caolas Beag | Jubilee,45.987065,-60.932696
17,An Ceap Leathach | Middle Cape,45.867739,-60.619030
18,An Drochaid | Mabou,46.071400,-61.393200
19,An Gleann Dubh | Glenville,46.148803,-61.318364
20,An Gleann Mór | Barra Glen,45.968235,-60.847356
21,An t-Allt Mór | Big Brook,45.800361,-61.236126
22,An t-Eilean Mór An Ear | East Boularderie,46.250608,-60.449742
23,Badaig Mhór | Big Baddeck,46.141835,-60.801069
24,Bàgh A’ Chaisteil | Castle Bay,45.909002,-60.683797
25,Bàgh Na h-Àird’ An Ear | East Bay,46.012265,-60.384539
26,Baghasdal | Boisdale,46.096987,-60.507018
27,Baile Beag an Uillt | Centreville,46.065286,-61.235901
28,Baile Iarainn | Ironville,46.134486,-60.460794
29,Baile nan Éireannach | Irish Vale,45.847478,-60.647462
30,Baile nan Giolasach | Gillisdale,46.232338,-61.134829
31,Baile Sheumais | Jamesville,45.948957,-60.852171
32,Beinn a Tuath | Marble Mountain,45.818362,-61.045216
33,Beinn Eòin | Ben Eoin,45.972434,-60.434822
34,Beinn nan Comhachaig | Owl Mountain (Valley Mills),45.852162,-61.087352
35,Beinn Noah | Hillsdale,45.932999,-61.418187
36,Boston Ùr | New Boston,45.974823,-60.071356
37,Bràigh Na h-Aibhne | Southwest Margaree,46.279813,-61.144113
38,Bràigh na h-Aibhneadh | Glendale,45.816292,-61.300458
39,Bràigh na h-Aibhneadh | Kingsville,45.782542,-61.323630
40,Bràigh na h-Aibhneadh | Maple Brook,45.816967,-61.283472
41,Bucklaw,46.012500,-60.984100
42,Bun Na h-Aibhne | Scotsville,46.187223,-61.157278
43,Camus nan Éireannach | Irish Cove,45.821200,-60.674500
44,Ceann a' Mhira | Upper Grand Mira,45.798176,-60.295698
45,Còbh An Fheòir | Hay Cove,45.738184,-60.724825
46,Còbh nam Breatannach | Breton Cove,46.455571,-60.465728
47,Còbh Nam Pìobairean | Piper's Cove,45.938669,-60.753041
48,Còmhnard nam Frangach | Birch Plain,46.517612,-60.433526
49,Creiginis | Creignish,45.730202,-61.459409
50,Crìochan Bràigh na h-Aibhneadh | Melford,45.873281,-61.260461
51,Cùl a' Chnuic Mhòir | Rear Big Hill,46.171483,-60.678440
52,Cùl An Acarsaid | Rear Ottawa Brook,45.943555,-60.939081
53,Cùl An Tràigh Mhòr | Rear Big Beach,45.979682,-60.698273
54,Cùl Eilean na Nollaig | Rear Christmas Island,45.964671,-60.719141
55,Cùl Rathad Shiùdaig | Hawthorne,45.965712,-61.469849
56,Cùl Shiudaig | Dennistown,45.845303,-61.388127
57,Cùl Shiudaig | Rear Judique Chapel,45.866964,-61.466624
58,Cùl Shiùdaig | Gussieville,45.908492,-61.469579
59,Deepdale,46.233224,-61.267491
60,Drochaid Bhioctoria | Victoria Bridge,45.825242,-60.288688
61,Drochaid Mhira | Marion Bridge,45.980386,-60.213941
62,Drochaid na h-Aibhne Tuath | North River Bridge,46.305232,-60.621111
63,Drochaid Uaiseabuc | Washabuck Bridge,46.016027,-60.884673
64,Dùn-bheagan | Dunvegan,46.297097,-61.233804
65,Eas na h-Aibhne Móire | Grand River Falls,45.698715,-60.632346
66,Eilean Mhàrgaraidh | Margaree Island,46.359443,-61.262199
67,Eilean na Nollaig | Christmas Island,46.003966,-60.580066
68,Flambus | Framboise,45.717954,-60.364031
69,Flambus | Framboise Interval,45.683901,-60.433419
70,Gleann Comhann | Glencoe,45.950749,-61.333917
71,Gleann Comhann | Glencoe Mills,45.967081,-61.316710
72,Gleann nam Màgan | Ainslie Glen,46.028219,-61.132531
73,Gleann nam Piobaire | Piper's Glen,46.198393,-61.118408
74,Gleann nan Sgitheanach | Skye Glen,46.033243,-61.201546
75,Léig Gabarus | Gabarus Lake,45.811316,-60.216976
76,Loch ’ic Eamoinn | MacAdam's Lake,46.026721,-60.432653
77,Loch Ainslidh a Deas | South Lake Ainslie (Head Lake),46.049885,-61.106306
78,Loch Ainslidh an Iar | West Lake Ainslie,46.100130,-61.200327
79,Loch Laomainn | Loch Lomond,45.765793,-60.565833
80,Màbu an Ear-thuath | North East Mabou,46.099990,-61.400428
81,Màbu an Iar | West Mabou,46.076605,-61.480932
82,Màbu an Iar-Dheas | Upper Southwest Mabou,45.949073,-61.368065
83,Muilnean Clann ’ic Ghilleghuirme | Blues Mills,45.930857,-61.182012
84,Na Pònaichean | St. Rose,46.347135,-61.183503
85,Pòn na Maiseadh | Benacadie,45.922400,-60.731500
86,Pòn na Maiseadh | Benacadie Pond,45.917458,-60.716667
87,Pòn na Maiseadh An Iar | Benacadie West,45.933426,-60.735664
88,Port Bàn | Port Ban,46.199714,-61.385193
89,Rubha 'ic an Rothaich | Munroe's Point,46.269401,-60.600838
90,Sanndraigh | Iona,45.960232,-60.806941
91,Sgeir Dhubh | Skir Dhu,46.482834,-60.451282
92,Siudaig | Judique,45.873657,-61.490040
93,Siudaig Bheag | Little Judique,45.939616,-61.485704
94,Solas | Woodbine,45.999092,-60.301351
95,Sràid an Tàilleir | Highland Hill,45.965655,-60.867606
96,Srath Lathurna | Strathlorne,46.183481,-61.284318
97,Tairbeart | Tarbot,46.330967,-60.611874
98,Taobh Tuath Bàgh an Ear | Northside East Bay,45.999712,-60.434673
99,Tròidh | Troy,45.694677,-61.439895
,,,
,Community of Tradition (Scotland),,
100,An t-Eilean Sgitheanach | Skye,57.298600,-6.195400
101,Arasaig | Arisaig,56.911600,-5.845800
102,Bàideanach | Badenoch,56.975200,-4.176800
103,Barraigh | Barra,56.987300,-7.465000
104,Bearnaraigh na Hearadh | Berneray Harris,57.721851,-7.187320
105,Canaigh | Canna,57.061900,-6.545100
106,Ceann t-Sàil | Kintail,57.206000,-5.346800
107,Colla | Coll,56.620900,-6.572000
108,Eige | Eigg,56.904300,-6.151500
109,Gleann Comhann | Glencoe,56.667100,-5.026800
110,Leòdhas | Lewis,58.189000,-6.614000
111,Loch Abar | Lochaber,56.985400,-5.063300
112,Loch Carrann | Lochcarron,57.400400,-5.492200
113,Loch Aillse | Lochalsh,57.272800,-5.675900
114,Mórar | Morar,56.955300,-5.656500
115,Muc | Muck,56.836700,-6.244900
116,Mùideart | Moidart,56.796900,-5.711400
117,Muile | Mull,56.318300,-6.182700
118,Na Hearadh | Harris,57.834500,-6.904600
119,Na h-Eileanan A-Staigh | Inner Hebrides,56.623990,-6.166400
120,Ruma | Rum,57.000100,-6.333300
121,Sgalpaigh na Hearadh | Scalpay,57.866151,-6.671553
122,Siorrachd Rois | Ross-shire,57.688020,-5.256443
123,Strath Ghlais | Strathglass,57.379200,-4.698600
124,Uibhist | Uist,57.433200,-7.330100
125,Uibhist a Deas | South Uist,57.254900,-7.332200
126,Uibhist a Tuath | North Uist,57.581400,-7.285000
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
