Tradition,Communities
100,"41, 74, 89, 94, 99"
101,"38, 98"
102,"8, 70"
103,"7, 11, 12, 17, 20, 24, 25, 26, 28, 29, 31, 33, 43, 45, 47, 52, 53, 54, 63, 67, 84, 85, 86, 87, 90, 95"
104,"65, 79"
105,"1, 15, 18, 60"
106,39
107,22
108,"21, 35, 82, 92, 93"
109,70
110,"32, 36, 46, 51, 62, 97"
111,"1, 11, 14, 58, 59, 70, 71, 80, 81, 88"
112,"4, 83"
113,10
114,"2, 6, 15, 27, 30, 37, 42, 55, 56, 59, 64, 66, 84, 96"
115,"23, 35, 50, 59, 72"
116,"15, 38, 39, 40, 49, 59, 93"
117,"9, 14"
118,"3, 10, 46, 62, 69, 91"
119,34
120,"19, 42"
121,48
122,9
123,38
125,"11, 26, 28, 33, 38, 39, 44, 57, 76, 78, 84, 92"
126,"16, 36, 61, 68, 75, 77"
