Tradition,Communities
99,"32, 69"
100,"10, 106"
101,"2, 3, 4, 5, 6, 9, 13, 17, 19, 24, 39, 40, 43, 44, 45, 46, 47, 62, 70, 71, 74, 76, 78, 82, 87, 95"
102,"11, 15, 54, 94"
103,51
104,25
105,"8, 41, 49, 52, 93"
106,31
107,"14, 27, 35, 36, 42, 53, 65, 68, 83"
108,"14, 16, 17, 58, 66, 68, 75, 85, 89"
109,"11, 21, 30, 31, 37, 55, 67, 70, 73, 97"
110,"12, 79"
111,35
112,"15, 18, 21, 22, 23, 29, 34, 38, 59, 81, 86, 87, 88, 92"
113,"1, 21, 41, 61"
114,"15, 20, 21, 32, 51, 52, 57"
115,"55, 63"
116,"33, 81"
117,"64, 84, 90, 98"
118,32
119,3
120,"13, 32, 46, 49, 51, 56, 87, 91, 96"
121,"26, 28, 45, 48, 50, 60, 66"
